"V1","V2","V3"
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
3,6,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
3,6,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
6,3,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
5,4,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
3,6,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
6,3,8
5,4,8
5,4,8
5,4,8
5,4,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
5,4,8
5,4,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
3,6,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
3,6,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
5,4,8
4,5,8
4,5,8
4,5,8
4,5,8
5,4,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
5,4,8
4,5,8
4,5,8
